Sample Groups,Average,Average Variance
1,126.52295600483184,5797.061915007981
5,126.7608751351008,2975.195075450044
10,126.70308299955497,2531.574911961831
50,126.72210299446878,2163.3913044082365
100,126.72531740733677,2146.120709911969
500,126.72323711297601,2164.4644848397156
